Title,Date
"Schitt's Creek: Season 2: The Motel Guest","10/01/21"
"Schitt's Creek: Season 2: Ronnie's Party","10/01/21"
"Schitt's Creek: Season 1: Town for Sale","10/01/21"
"Surviving Death: Season 1: Near-Death Experiences","10/01/21"
"Tiny Pretty Things: Season 1: Catch & Release","10/01/21"
"Schitt's Creek: Season 2: Moira's Nudes","09/01/21"
"Schitt's Creek: Season 2: Milk Money","09/01/21"
"Schitt's Creek: Season 2: The Candidate","09/01/21"
"Schitt's Creek: Season 2: Moira vs. Town Council","09/01/21"
"Schitt's Creek: Season 2: Bob's Bagels","09/01/21"
"Schitt's Creek: Season 2: Estate Sale","09/01/21"
"Schitt's Creek: Season 2: Jazzagals","09/01/21"
"Schitt's Creek: Season 2: Family Dinner","09/01/21"
"Schitt's Creek: Season 1: Surprise Party","09/01/21"
"Schitt's Creek: Season 1: Little Sister","09/01/21"
"Schitt's Creek: Season 1: Honeymoon","09/01/21"
"Schitt's Creek: Season 2: Finding David","09/01/21"
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell","08/01/21"
"Schitt's Creek: Season 1: Carl's Funeral","08/01/21"
"Schitt's Creek: Season 1: Allez-Vous","08/01/21"
"Schitt's Creek: Season 1: Turkey Shoot","08/01/21"
"The Holiday","07/01/21"
"Schitt's Creek: Season 1: Wine and Roses","07/01/21"
"Workin' Moms: Season 4: Bad Reputation","07/01/21"
"Schitt's Creek: Season 1: The Cabin","06/01/21"
"Headspace Guide to Meditation: Season 1: How to Get Started","06/01/21"
"Best Leftovers Ever!: Season 1: Game Day Gourmet","06/01/21"
"Schitt's Creek: Season 1: Bad Parents","06/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Six: At the Mountains of Madness","06/01/21"
"Schitt's Creek: Season 1: Don't Worry, It's His Sister","05/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Five: The Endless","05/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Four: The Returned","05/01/21"
"Emily in Paris: Season 1: Cancel Couture","04/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Three: Deus Ex Machina","04/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-Two: The Imp of the Perverse","04/01/21"
"Emily in Paris: Season 1: An American Auction in Paris","03/01/21"
"Emily in Paris: Season 1: Family Affair","03/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty-One: The Weird","03/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Thirty: The Uninvited","03/01/21"
"Chilling Adventures of Sabrina: Part 4: Chapter Twenty-Nine: The Eldritch Dark","03/01/21"
